Peptide,Protein,Y
hsm-8056,hsm-8447,0
hsm-7890,hsm-8443,1
hsm-8247,hsm-8443,1
hsm-8119,hsm-8455,1
hsm-7843,hsm-8454,1
hsm-8065,hsm-8443,0
hsm-8140,hsm-8450,1
hsm-8291,hsm-8443,0
hsm-7952,hsm-8456,1
hsm-8183,hsm-8455,0
hsm-8179,hsm-8453,1
hsm-8115,hsm-8454,1
hsm-7843,hsm-8455,1
hsm-8223,hsm-8453,1
hsm-8262,hsm-8456,0
hsm-8370,hsm-8445,1
hsm-8189,hsm-8446,0
hsm-7952,hsm-8457,1
hsm-8201,hsm-8458,1
hsm-8034,hsm-8451,0
hsm-8079,hsm-8458,0
hsm-7938,hsm-8455,0
hsm-8247,hsm-8448,1
hsm-7868,hsm-8453,0
hsm-8104,hsm-8442,1
hsm-8097,hsm-8444,0
hsm-8369,hsm-8445,1
hsm-8025,hsm-8443,1
hsm-8131,hsm-8446,0
hsm-8345,hsm-8457,0
hsm-8011,hsm-8448,1
hsm-8071,hsm-8450,0
hsm-8283,hsm-8455,1
hsm-8055,hsm-8442,0
hsm-8341,hsm-8450,1
hsm-7863,hsm-8442,0
hsm-8249,hsm-8446,1
hsm-7913,hsm-8448,0
hsm-8027,hsm-8453,1
hsm-8232,hsm-8457,1
hsm-8285,hsm-8447,0
hsm-7902,hsm-8458,1
hsm-7994,hsm-8446,0
hsm-8108,hsm-8456,1
hsm-8363,hsm-8450,1
hsm-7834,hsm-8458,0
hsm-7902,hsm-8443,1
hsm-8331,hsm-8443,0
hsm-8143,hsm-8452,0
hsm-7927,hsm-8443,1
hsm-8164,hsm-8455,0
hsm-7831,hsm-8452,1
hsm-8291,hsm-8450,1
hsm-8179,hsm-8444,0
hsm-8107,hsm-8458,1
hsm-8119,hsm-8450,1
hsm-8201,hsm-8452,1
hsm-8352,hsm-8442,1
hsm-8274,hsm-8453,1
hsm-8138,hsm-8442,1
hsm-8160,hsm-8442,0
hsm-8008,hsm-8450,1
hsm-8223,hsm-8452,1
hsm-7851,hsm-8447,0
hsm-7972,hsm-8450,1
hsm-8201,hsm-8443,1
hsm-8026,hsm-8446,1
hsm-8312,hsm-8456,0
hsm-7890,hsm-8450,1
hsm-8179,hsm-8450,0
hsm-7916,hsm-8444,0
hsm-7841,hsm-8455,1
hsm-8131,hsm-8456,0
hsm-7987,hsm-8451,1
hsm-8094,hsm-8453,0
hsm-7862,hsm-8454,0
hsm-8138,hsm-8449,0
hsm-8253,hsm-8456,1
hsm-8226,hsm-8451,0
hsm-7890,hsm-8457,1
hsm-8002,hsm-8447,0
hsm-7839,hsm-8444,0
hsm-7907,hsm-8449,0
hsm-8027,hsm-8455,1
hsm-8149,hsm-8446,1
hsm-7946,hsm-8456,0
hsm-8307,hsm-8448,0
hsm-7995,hsm-8450,0
hsm-8360,hsm-8453,1
hsm-8097,hsm-8457,0
hsm-8119,hsm-8454,1
hsm-8058,hsm-8444,0
hsm-8348,hsm-8443,0
hsm-8073,hsm-8442,0
hsm-8142,hsm-8444,0
hsm-8359,hsm-8452,0
hsm-7890,hsm-8458,1
hsm-8067,hsm-8442,0
hsm-7927,hsm-8442,1
hsm-8039,hsm-8454,1
hsm-8102,hsm-8446,0
hsm-8294,hsm-8457,0
hsm-8140,hsm-8454,1
hsm-7918,hsm-8454,0
hsm-8221,hsm-8446,0
hsm-7890,hsm-8455,1
hsm-8138,hsm-8450,1
hsm-8366,hsm-8445,1
hsm-7924,hsm-8451,1
hsm-8154,hsm-8458,0
hsm-8119,hsm-8453,1
hsm-8198,hsm-8453,0
hsm-8116,hsm-8447,0
hsm-8179,hsm-8455,1
hsm-8360,hsm-8448,0
hsm-8296,hsm-8455,0
hsm-8059,hsm-8450,0
hsm-7843,hsm-8450,1
hsm-8095,hsm-8458,0
hsm-7986,hsm-8451,1
hsm-8144,hsm-8456,0
hsm-8247,hsm-8458,1
hsm-8201,hsm-8442,1
hsm-7872,hsm-8446,1
hsm-8365,hsm-8445,1
hsm-8215,hsm-8450,0
hsm-8078,hsm-8456,1
hsm-8298,hsm-8458,0
hsm-8108,hsm-8455,1
hsm-8089,hsm-8452,0
hsm-8291,hsm-8447,1
hsm-8179,hsm-8452,1
hsm-8061,hsm-8450,0
hsm-8082,hsm-8451,0
hsm-8341,hsm-8454,1
hsm-8363,hsm-8447,1
hsm-8201,hsm-8451,1
hsm-8087,hsm-8450,0
hsm-8232,hsm-8455,1
hsm-8201,hsm-8444,1
hsm-8301,hsm-8452,0
hsm-8027,hsm-8456,1
hsm-8362,hsm-8455,0
hsm-7843,hsm-8442,1
hsm-7868,hsm-8455,0
hsm-7862,hsm-8450,0
hsm-8187,hsm-8453,0
hsm-7831,hsm-8453,1
hsm-8026,hsm-8457,0
hsm-7995,hsm-8443,0
hsm-7887,hsm-8455,0
hsm-7890,hsm-8453,1
hsm-7984,hsm-8457,0
hsm-8274,hsm-8452,1
hsm-7938,hsm-8446,1
hsm-7969,hsm-8444,0
hsm-7843,hsm-8449,1
hsm-8078,hsm-8457,1
hsm-8134,hsm-8447,1
hsm-8354,hsm-8452,0
hsm-7860,hsm-8454,0
hsm-8140,hsm-8442,1
hsm-7986,hsm-8444,0
hsm-7907,hsm-8456,0
hsm-8131,hsm-8449,0
hsm-8364,hsm-8445,1
hsm-8256,hsm-8452,0
hsm-8105,hsm-8448,0
hsm-8168,hsm-8457,0
hsm-8025,hsm-8442,1
hsm-8309,hsm-8454,1
hsm-8371,hsm-8445,1
hsm-8166,hsm-8452,0
hsm-8283,hsm-8458,1
hsm-7830,hsm-8458,0
hsm-8181,hsm-8443,0
hsm-8032,hsm-8456,0
hsm-7831,hsm-8456,1
hsm-8137,hsm-8449,1
hsm-8265,hsm-8443,0
hsm-8223,hsm-8455,1
hsm-7879,hsm-8452,0
hsm-7952,hsm-8455,1
hsm-7869,hsm-8458,0
hsm-8115,hsm-8442,1
hsm-8113,hsm-8450,1
hsm-8272,hsm-8455,0
hsm-8356,hsm-8449,1
hsm-8115,hsm-8447,1
hsm-8283,hsm-8442,1
hsm-7943,hsm-8458,1
hsm-7843,hsm-8447,1
hsm-7830,hsm-8443,0
hsm-8201,hsm-8446,0
hsm-7864,hsm-8450,0
hsm-8271,hsm-8458,0
hsm-8100,hsm-8450,0
hsm-7896,hsm-8458,0
hsm-8248,hsm-8457,0
hsm-7850,hsm-8454,0
hsm-7992,hsm-8453,0
hsm-8185,hsm-8450,0
hsm-8331,hsm-8442,0
hsm-8279,hsm-8458,1
hsm-8113,hsm-8447,1
hsm-8282,hsm-8452,0
hsm-8200,hsm-8452,0
hsm-7974,hsm-8457,0
hsm-8078,hsm-8453,1
hsm-8341,hsm-8447,1
hsm-7923,hsm-8442,1
hsm-8140,hsm-8447,1
hsm-8309,hsm-8450,1
hsm-7994,hsm-8456,0
hsm-8363,hsm-8446,1
hsm-8358,hsm-8444,0
hsm-8283,hsm-8451,1
hsm-8309,hsm-8447,1
hsm-7960,hsm-8447,0
hsm-8124,hsm-8457,0
hsm-8247,hsm-8442,1
hsm-8137,hsm-8451,1
hsm-8102,hsm-8452,0
hsm-8054,hsm-8449,0
hsm-8004,hsm-8455,0
hsm-8201,hsm-8455,1
hsm-8309,hsm-8448,0
hsm-7912,hsm-8457,0
hsm-7843,hsm-8448,1
hsm-8283,hsm-8447,1
hsm-8357,hsm-8450,0
hsm-8042,hsm-8451,0
hsm-7920,hsm-8443,0
hsm-7921,hsm-8447,0
hsm-8181,hsm-8455,0
hsm-8201,hsm-8448,1
hsm-8138,hsm-8447,1
hsm-8113,hsm-8449,0
hsm-8155,hsm-8457,0
hsm-8008,hsm-8443,1
hsm-8264,hsm-8458,1
hsm-8265,hsm-8447,0
hsm-7844,hsm-8450,0
hsm-8211,hsm-8455,0
hsm-8059,hsm-8448,0
hsm-8135,hsm-8444,0
hsm-8027,hsm-8457,1
hsm-8078,hsm-8455,1
hsm-8108,hsm-8457,1
hsm-7830,hsm-8453,1
hsm-8104,hsm-8451,1
hsm-8255,hsm-8458,0
hsm-8283,hsm-8454,1
hsm-8098,hsm-8442,0
hsm-7972,hsm-8443,1
hsm-8270,hsm-8454,0
hsm-8115,hsm-8450,1
hsm-8115,hsm-8453,1
hsm-8147,hsm-8448,0
hsm-7843,hsm-8453,1
